,XRX
% Above Low,0.2079
% Held by Institutions,0.8736
52-Wk Range,['15.01 - 39.47']
Annual Dividend $,1.0
Annual Dividend %,0.057699999999999994
Ask,18.16
Ask Size,4000.0
B/A Ratio,0.025
B/A Size,100x4000
Beta,1.7
Bid,17.2
Bid Size,100.0
Closing Price,18.13
Day Change $,0.8
Day Change %,0.0462
Day High,18.27
Day Low,17.57
Dividend Pay Date,2020-04-30 00:00:00
"EPS (TTM, GAAP)",2.2
Ex-dividend,2020-03-27 00:00:00
Ex-dividend Date,03/27/20
Historical Volatility,0.569
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,3.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.22
Prev Close,17.33
Shares Outstanding,212.9M
Short Interest,0.0454
Today's Open,17.62
Volume,2006966.0
Volume 10-day Avg,3322303.0
Volume Past Day,(Light)
