,XYL
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,18.0
Growth 1yr Low Est,-0.6466666666666667
Growth 1yr High Est,0.04290429042904309
Growth 1yr Consensus Est,-0.3018811881188118
Growth 2yr Low Est,0.06817610062893065
Growth 2yr High Est,0.09898379078414177
Growth 2yr Consensus Est,0.08357994570653621
Growth 5yr Low Est,0.10873086941888843
Growth 5yr High Est,0.1115286674624672
Growth 5yr Consensus Est,0.11012976844067782
Growth 5yr Actual/Est,0.08130604173236622
Growth 3yr Historic,0.06215277777777778
