,2015,2016,2017,2018,2019,2020,Report
high,115.5,133.21,133.49,134.55,151.67,161.11,
low,88.77,88.27,102.59,96.99,98.6,74.37,
change,-0.08869999999999999,0.0206,0.1617,-0.1428,0.4543,-0.1875,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,1459.0,634.0,524.0,543.0,618.0,,Balance Sheet
Short Term Investments,165.0,0.0,,,,,Balance Sheet
Cash and Short Term Invs,1624.0,634.0,524.0,543.0,618.0,,Balance Sheet
"Trade Accts Recvble, Gross",,1656.0,,1342.0,1429.0,,Balance Sheet
Prov. for Doubtful Accts,,-52.0,,-66.0,-65.0,,Balance Sheet
"Total Receivables, Net",1447.0,1604.0,1544.0,1276.0,1364.0,,Balance Sheet
Invent. - Finished Goods,1828.0,1557.0,,1798.0,1875.0,,Balance Sheet
Invent. - Work In Progress,146.0,142.0,,230.0,231.0,,Balance Sheet
Invent. - Raw Materials,280.0,261.0,,228.0,279.0,,Balance Sheet
Total Inventory,2254.0,1959.0,2068.0,2257.0,2385.0,,Balance Sheet
Prepaid Expenses,429.0,408.0,428.0,314.0,315.0,,Balance Sheet
"Other Curr. Assets, Total",101.0,58.0,,38.0,42.0,,Balance Sheet
Total Current Assets,5854.0,4664.0,4565.0,4427.0,4724.0,,Balance Sheet
Buildings,1789.0,1790.0,,1886.0,2007.0,,Balance Sheet
Land/Improvements,40.0,37.0,,28.0,28.0,,Balance Sheet
Machinery/Equipment,2491.0,2745.0,,3376.0,3733.0,,Balance Sheet
Construction in Progress,108.0,100.0,,147.0,149.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,267.0,,Balance Sheet
Prop./Plant/Equip. - Gross,4428.0,4672.0,,5437.0,6184.0,,Balance Sheet
Accumulated Depreciation,-2365.0,-2634.0,,-3422.0,-3839.0,,Balance Sheet
Prop./Plant/Equip. - Net,2063.0,2038.0,2039.0,2015.0,2344.0,,Balance Sheet
"Goodwill, Gross",10307.0,11017.0,,11248.0,11253.0,,Balance Sheet
Accum. Goodwill Amort.,-373.0,-373.0,,-1654.0,-1654.0,,Balance Sheet
"Goodwill, Net",9934.0,10644.0,10668.0,9594.0,9600.0,,Balance Sheet
Intangibles - Gross,,10482.0,,10589.0,10729.0,,Balance Sheet
Accum. Intangible Amort.,,-1696.0,,-2904.0,-3472.0,,Balance Sheet
Intangibles - Net,8746.0,8785.0,8353.0,7685.0,7258.0,,Balance Sheet
Other Long Term Assets,564.0,554.0,389.0,405.0,713.0,,Balance Sheet
Total Assets,27161.0,26684.0,26014.0,24127.0,24639.0,,Balance Sheet
Accounts Payable,285.0,365.0,330.0,363.0,401.0,,Balance Sheet
Accrued Expenses,,1090.0,,931.0,1156.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,0.0,576.0,1225.0,525.0,1500.0,,Balance Sheet
Income Taxes Payable,147.0,184.0,165.0,142.0,127.0,,Balance Sheet
Other Current Liabilities,1186.0,168.0,1349.0,460.0,258.0,,Balance Sheet
"Other Curr. Lblts, Total",1333.0,352.0,1515.0,603.0,384.0,,Balance Sheet
Total Current Liabilities,1618.0,2382.0,3070.0,2421.0,3442.0,,Balance Sheet
Total Long Term Debt,11497.0,10666.0,8918.0,8399.0,6715.0,,Balance Sheet
Total Debt,11497.0,11241.0,10143.0,8924.0,8215.0,,Balance Sheet
Deferred Income Tax,3150.0,3031.0,1102.0,1000.0,840.0,,Balance Sheet
Minority Interest,2.0,1.0,0.0,5.0,5.0,,Balance Sheet
"Other Liabilities, Total",1006.0,936.0,1190.0,1031.0,1249.0,,Balance Sheet
Total Liabilities,17273.0,17016.0,14278.0,12856.0,12251.0,,Balance Sheet
Common Stock,3.0,3.0,3.0,3.0,3.0,,Balance Sheet
Additional Paid-In Capital,8195.0,8369.0,8515.0,8686.0,8920.0,,Balance Sheet
