,ZION
% Above Low,0.3028
% Held by Institutions,1.0061
52-Wk Range,['23.58 - 52.48']
Annual Dividend $,1.36
Annual Dividend %,0.046
Ask,32.0
Ask Size,3400.0
B/A Ratio,0.2647058823529412
B/A Size,900x3400
Beta,1.7
Bid,30.15
Bid Size,900.0
Closing Price,30.72
Day Change $,1.15
Day Change %,0.038900000000000004
Day High,30.84
Day Low,29.95
Dividend Pay Date,2020-05-21 00:00:00
"EPS (TTM, GAAP)",3.15
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.40399999999999997
Last (size),99.0
Last (time),4:00p ET 05/08/20
Market Cap,5.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.74
Prev Close,29.57
Shares Outstanding,163.9M
Short Interest,0.08869999999999999
Today's Open,30.28
Volume,2618269.0
Volume 10-day Avg,3357126.0
Volume Past Day,(Light)
